=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 15:14:10 =~=~=~=~=~=~=~=~=~=~=~=
2329, 0.78, 2278, 23.00, 0.05, 0.02, STANDBY, NONE
50286, 0.39, 23.00, 0.030.Millis, Current, Temp., Voltage, Press., State, Alarm
101, 0.00, 24.00, 0.08, -0.00, STANDBY, NONE
111, 0.39, 23.00, 0.23, 0.00, STANDBY, NONE
121, 0.39, 24.00, 0.00, 0.01, STANDBY, NONE
131, 0.39, 24.00, 0.05, 0.01, STANDBY, NONE
141, 0.39, 23.00, 0.03, 0.01, STANDBY, NONE
151, 0.39, 24.00, 0.08, 0.01, STANDBY, NONE
161, 0.39, 24.00, 0.05, 0.01, STANDBY, NONE
171, 0.78, 23.00, 0.00, 0.02, STANDBY, NONE
181, 0.78, 23.00, 0.18, 0.02, STANDBY, NONE
191, 0.78, 23.00, 0.23, 0.02, STANDBY, NONE
201, 0.39, 24.00, 0.00, 0.02, STANDBY, NONE
211, 0.39, 23.00, 0.03, 0.02, STANDBY, NONE
221, 0.39, 23.00, 0.03, 0.01, STANDBY, NONE
231, 0.78, 23.00, 0.03, 0.02, STANDBY, NONE
241, 0.00, 23.00, 0.03, 0.01, STANDBY, NONE
251, 0.39, 23.00, 0.03, 0.01, STANDBY, NONE
261, 0.39, 23.00, 0.10, 0.02, STANDBY, NONE
271, 0.39, 23.00, 0.00, 0.02, STANDBY, NONE
281, 0.39, 23.00, 0.05, 0.02, STANDBY, NONE
291, 0.39, 23.00, 0.03, 0.02, STANDBY, NONE
301, 0.78, 23.00, 0.00, 0.02, STANDBY, NONE
311, 0.39, 24.00, 0.00, 0.02, STANDBY, NONE
321, 0.39, 23.00, 0.28, 0.01, STANDBY, NONE
331, 0.39, 24.00, 0.03, 0.01, STANDBY, NONE
342, 0.78, 23.00, 0.26, 0.00, STANDBY, NONE
352, 0.78, 24.00, 0.28, 0.01, STANDBY, NONE
362, 0.78, 23.00, 0.26, 0.01, STANDBY, NONE
