=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.07.02 18:58:49 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.A05.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
833, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
843, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
854, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
864, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
874, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
884, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
894, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
904, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
914, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
924, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
934, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
944, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
954, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
964, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
974, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
984, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
994, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1004, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1014, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1024, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1034, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1044, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1054, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1064, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1074, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1084, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1094, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1104, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1114, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
1124, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
