=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:45:29 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Tem..39, 22.00, 0.05, 0.02, STANDBY, NONE
642, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
652, 0.00, 22.00, 0.26, 0.01, STANDBY, NONE
662, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
672, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
683, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
693, 0.39, 22.00, 0.13, 0.01, STANDBY, NONE
703, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
713, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
723, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
733, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
743, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
753, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
763, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
773, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
783, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
793, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
803, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
813, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
823, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
833, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
843, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
854, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
864, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
874, 0.39, 22.00, 0.13, 0.01, STANDBY, NONE
884, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
894, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
904, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
914, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
924, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
934, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
944, 0.00, 22.00, 0.23, 0.01, STANDBY, NONE
954, 0.39, 22.00, 0.26, 0.01, STANDBY, NONE
964, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
974, 0.00, 22.00, 0.26, 0.01, STANDBY, NONE
984, 0.00, 22.00, 0.26, 0.01, STANDBY, NONE
994, -0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1004, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1014, 0.00, 22.00, 0.05, 0.01, STANDBY, NONE
1024, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1034, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1044, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1054, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1064, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1074, -0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1084, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1094, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1104, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1114, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1124, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1134, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1144, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1154, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1164, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1174, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1184, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1195, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1205, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1215, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1225, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1235, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1245, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1255, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1265, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1275, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
1285, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1295, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1305, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1315, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1325, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1335, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1345, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1355, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1366, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1376, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1386, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1396, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1406, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1416, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
1426, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1436, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1446, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
1456, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1466, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
1476, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
1486, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
