=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:49:57 =~=~=~=~=~=~=~=~=~=~=~=
LARM, HIGH_FC_PRES_DELAYED
803, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
813, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
823, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
833, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
843, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
854, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
864, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
874, 0.39, 23.00, 17.57, 0.47, STANDBY, NONE
884, 0.39, 23.00, 17.49, 0.47, STANDBY, NONE
894, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
904, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
914, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
924, 0.39, 23.00, 17.49, 0.47, STANDBY, NONE
934, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
944, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
954, 0.00, 23.00, 17.49, 0.47, STANDBY, NONE
964, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
974, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
984, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
994, 0.39, 23.00, 17.57, 0.47, STANDBY, NONE
1004, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1014, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1024, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1034, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1044, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1054, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1064, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1074, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1084, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1094, 0.39, 24.00, 17.55, 0.47, STANDBY, NONE
1104, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1114, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1124, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1134, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1144, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1154, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1164, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1174, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1184, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1195, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1205, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1215, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1225, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1235, 0.39, 24.00, 17.55, 0.47, STANDBY, NONE
1245, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1255, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1265, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1275, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1285, 0.00, 23.00, 17.57, 0.47, STANDBY, NONE
1295, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1305, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1315, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1325, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1335, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1345, 0.00, 24.00, 17.55, 0.47, STANDBY, NONE
1355, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1366, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1376, 0.78, 23.00, 17.52, 0.47, STANDBY, NONE
1386, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1396, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1406, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1416, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1426, 0.00, 23.00, 17.49, 0.47, STANDBY, NONE
1436, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1446, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1456, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1466, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1476, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1486, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1496, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1506, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1516, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1526, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1536, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1546, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1556, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1566, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1576, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1586, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1596, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1606, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1616, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1626, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1636, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1646, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1656, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1666, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1676, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1686, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1696, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1707, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1717, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1727, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1737, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1747, 0.00, 23.00, 17.55, 0.47, STANDBY, NONE
1757, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1767, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1777, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1787, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1797, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1807, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1817, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1827, 0.00, 23.00, 17.52, 0.47, STANDBY, NONE
1837, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
1847, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1857, 0.39, 23.00, 17.55, 0.47, STANDBY, NONE
1867, 0.39, 23.00, 17.52, 0.47, STANDBY, NONE
