=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.25 10:00:56 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Volt0 0.39A. HFCC is: 0ms. Int'vl is: 11ms. 10934, 0.39, 21.00, 0.26, 0.00, STANDBY, TANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 6ms. 502, 0.00, 21.00, 0.23, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 513, 0.39, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 523, 0.00, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 533, 0.00, 21.00, 0.00, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 9ms. 543, 0.00, 21.00, 0.18, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 553, 0.39, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 563, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 573, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 583, 0.78, 21.00, 0.03, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 10ms. 593, 0.00, 21.00, 0.00, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 604, 0.00, 21.00, 0.03, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 9ms. 614, 0.39, 21.00, 0.23, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 624, 0.39, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 6ms. 640, 0.00, 21.00, 0.26, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.39A. HFCC is: 0ms. Int'vl is: 11ms. 650, 0.39, 21.00, 0.03, -0.06, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 660, 0.39, 21.00, 0.03, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 670, 0.00, 21.00, 0.16, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 9ms. 680, 0.00, 21.00, 0.23, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 11ms. 691, 0.00, 21.00, 0.26, 0.00, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 6ms. 706, 0.00, 21.00, 0.26, -0.03, STANDBY, NONE
checkAlarms() measures current at: 0.00A. HFCC is: 0ms. Int'vl is: 10ms. 716, 0.00, 21.00, 0.03, -0.03, STANDBY, NONE
