=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 15:36:44 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., VoltageB-0.12, STANDBY, NONE
1054, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1064, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1074, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1084, 530, 24.00, 16.59, -0.14, STANDBY, NONE
1094, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1104, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1114, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1124, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1134, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1144, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1154, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1164, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1174, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1184, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1195, 530, 25.00, 16.59, -0.14, STANDBY, NONE
1205, 530, 24.00, 16.59, -0.15, STANDBY, NONE
1215, 530, 24.00, 16.59, -0.15, STANDBY, NONE
1225, 530, 24.00, 16.59, -0.14, STANDBY, NONE
1235, 530, 24.00, 16.56, -0.13, STANDBY, NONE
1245, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1255, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1265, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1275, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1285, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1295, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1305, 529, 25.00, 16.59, -0.13, STANDBY, NONE
1315, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1325, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1335, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1345, 528, 24.00, 16.59, -0.14, STANDBY, NONE
1355, 529, 25.00, 16.59, -0.14, STANDBY, NONE
1366, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1376, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1386, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1396, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1406, 530, 25.00, 16.59, -0.14, STANDBY, NONE
1416, 530, 24.00, 16.59, -0.13, STANDBY, NONE
1426, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1436, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1446, 528, 24.00, 16.59, -0.14, STANDBY, NONE
1456, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1466, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1476, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1486, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1496, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1506, 530, 24.00, 16.61, -0.13, STANDBY, NONE
1516, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1526, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1536, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1546, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1556, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1566, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1576, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1586, 529, 24.00, 16.56, -0.14, STANDBY, NONE
1596, 528, 24.00, 16.59, -0.14, STANDBY, NONE
1606, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1616, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1626, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1636, 528, 24.00, 16.59, -0.13, STANDBY, NONE
1646, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1656, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1666, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1676, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1686, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1696, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1707, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1717, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1727, 530, 24.00, 16.59, -0.14, STANDBY, NONE
1737, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1747, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1757, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1767, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1777, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1787, 529, 25.00, 16.59, -0.13, STANDBY, NONE
1797, 528, 24.00, 16.59, -0.13, STANDBY, NONE
1807, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1817, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1827, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1837, 528, 24.00, 16.61, -0.13, STANDBY, NONE
1847, 530, 24.00, 16.59, -0.13, STANDBY, NONE
1857, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1867, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1878, 529, 24.00, 16.56, -0.14, STANDBY, NONE
1888, 529, 24.00, 16.56, -0.13, STANDBY, NONE
1898, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1908, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1918, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1928, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1938, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1948, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1958, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1968, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1978, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1988, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1998, 530, 24.00, 16.59, -0.13, STANDBY, NONE
2008, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2018, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2028, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2038, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2048, 528, 24.00, 16.59, -0.14, STANDBY, NONE
2058, 528, 24.00, 16.59, -0.14, STANDBY, NONE
2068, 530, 24.00, 16.59, -0.13, STANDBY, NONE
2078, 528, 24.00, 16.59, -0.13, STANDBY, NONE
2088, 529, 24.00, 16.59, -0.13, STANDBY, NONE
2098, 529, 24.00, 16.59, -0.14, STANDBY, NONE
2108, 529, 24.00, 16.61, -0.14, STANDBY, NONE
2118, 529, 24.00, 16.61, -0.13, STANDBY, NONE
2128, 529, 24.00, 16.61, -0.13, STANDBY, NONE
2138, 529, 25.00, 16.59, -0.13, STANDBY, NONE
2148, 529, 24.00, 16.59, -0.13, STANDBY, NONE
