=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:51:08 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Voltage, Pr23.00, 16.28, 0.75, ALARM, HIGH_FC_PRES
1014, 0.39, 24.00, 17.31, 0.73, STANDBY, NONE
1024, 0.39, 23.00, 17.29, 0.74, STANDBY, NONE
1034, 0.39, 23.00, 17.29, 0.73, STANDBY, NONE
1044, 0.00, 24.00, 17.29, 0.73, STANDBY, NONE
1054, 0.00, 23.00, 17.26, 0.73, STANDBY, NONE
1064, 0.39, 24.00, 17.29, 0.73, STANDBY, NONE
1074, 0.39, 24.00, 17.29, 0.73, STANDBY, NONE
1084, 0.39, 23.00, 17.29, 0.74, STANDBY, NONE
1094, 0.78, 23.00, 17.29, 0.73, STANDBY, NONE
1104, 0.39, 24.00, 17.31, 0.73, STANDBY, NONE
1114, 0.00, 24.00, 17.31, 0.73, STANDBY, NONE
1124, 0.78, 24.00, 17.31, 0.73, STANDBY, NONE
1134, 0.39, 24.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1144, 0.39, 23.00, 17.29, 0.73, ALARM, HIGH_FC_PRES
1154, 0.39, 24.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1164, 0.39, 24.00, 17.34, 0.74, ALARM, HIGH_FC_PRES
1174, 0.39, 23.00, 17.31, 0.74, ALARM, HIGH_FC_PRES
1184, 0.39, 24.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1195, 0.39, 23.00, 17.31, 0.72, ALARM, HIGH_FC_PRES
1205, 0.39, 24.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1215, 0.00, 24.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1225, 0.39, 23.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1235, 0.39, 23.00, 17.29, 0.73, ALARM, HIGH_FC_PRES
1245, 0.39, 23.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1255, 0.00, 23.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1265, 0.78, 23.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1275, 0.39, 24.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1285, 0.39, 23.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1295, 0.00, 24.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1305, 0.39, 23.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1315, 0.39, 23.00, 17.34, 0.72, ALARM, HIGH_FC_PRES
1325, 0.39, 24.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1335, 0.39, 23.00, 17.34, 0.72, ALARM, HIGH_FC_PRES
1345, 0.78, 24.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1355, 0.39, 23.00, 17.34, 0.72, ALARM, HIGH_FC_PRES
1366, 0.78, 24.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1376, 0.39, 23.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1386, 0.39, 24.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1396, 0.39, 24.00, 17.31, 0.73, ALARM, HIGH_FC_PRES
1406, 0.39, 24.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1416, 0.39, 23.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1426, 0.39, 24.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1436, 0.39, 23.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1446, 0.78, 23.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1456, 0.00, 23.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1466, 0.39, 24.00, 17.34, 0.73, ALARM, HIGH_FC_PRES
1476, 0.39, 24.00, 17.34, 0.72, ALARM, HIGH_FC_PRES
1486, 0.39, 23.00, 17.34, 0.72, ALARM, HIGH_FC_PRES
1496, 0.39, 24.00, 17.39, 0.72, ALARM, HIGH_FC_PRES
1506, 0.39, 24.00, 17.36, 0.72, ALARM, HIGH_FC_PRES
1516, 0.39, 23.00, 17.34, 0.72, ALARM, HIGH_FC_PRES
1526, 0.39, 23.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1536, 0.39, 23.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1546, 0.39, 24.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1556, 0.00, 24.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1566, 0.00, 24.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1576, 0.39, 23.00, 17.34, 0.74, ALARM, HIGH_FC_PRES
1586, 0.39, 23.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
1596, 0.00, 24.00, 17.36, 0.73, ALARM, HIGH_FC_PRES
