=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.30 16:03:26 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.5, -40.00, 0.54, -0.97, ALARM, LOW_FC_TEMP
823, 6.64, -40.00, 0.57, -0.47, ALARM, LOW_FC_TEMP
833, 5.86, -40.00, 0.21, -0.98, ALARM, LOW_FC_TEMP
843, 6.25, -40.00, 0.54, -0.45, ALARM, LOW_FC_TEMP
854, 6.25, -40.00, 0.65, -0.98, ALARM, LOW_FC_TEMP
864, 6.64, -40.00, 0.57, -0.40, ALARM, LOW_FC_TEMP
874, 6.25, -40.00, 0.49, -0.96, ALARM, LOW_FC_TEMP
884, 6.25, -40.00, 0.57, -0.36, ALARM, LOW_FC_TEMP
894, 5.86, -40.00, 0.41, -0.94, ALARM, LOW_FC_TEMP
904, 6.25, -40.00, 0.49, -0.42, ALARM, LOW_FC_TEMP
914, 5.86, -40.00, 0.57, -1.01, ALARM, LOW_FC_TEMP
924, 6.64, -40.00, 0.39, -0.42, ALARM, LOW_FC_TEMP
934, 6.25, -40.00, 0.54, -0.96, ALARM, LOW_FC_TEMP
944, 6.25, -40.00, 0.54, -0.41, ALARM, LOW_FC_TEMP
954, 6.25, -40.00, 0.44, -0.99, ALARM, LOW_FC_TEMP
964, 6.25, -40.00, 0.54, -0.39, ALARM, LOW_FC_TEMP
974, 6.25, -40.00, 0.39, -0.96, ALARM, LOW_FC_TEMP
984, 6.25, -40.00, 0.52, -0.43, ALARM, LOW_FC_TEMP
994, 6.25, -40.00, 0.62, -1.00, ALARM, LOW_FC_TEMP
1004, 6.25, -40.00, 0.36, -0.42, ALARM, LOW_FC_TEMP
1014, 6.25, -40.00, 0.54, -0.96, ALARM, LOW_FC_TEMP
1024, 6.64, -40.00, 0.60, -0.42, ALARM, LOW_FC_TEMP
1034, 5.86, -40.00, 0.60, -1.00, ALARM, LOW_FC_TEMP
1044, 6.25, -40.00, 0.57, -0.38, ALARM, LOW_FC_TEMP
1054, 5.86, -40.00, 0.67, -0.95, ALARM, LOW_FC_TEMP
1064, 6.25, -40.00, 0.47, -0.38, ALARM, LOW_FC_TEMP
1074, 5.86, -40.00, 0.44, -0.98, ALARM, LOW_FC_TEMP
1084, 6.25, -40.00, 0.52, -0.37, ALARM, LOW_FC_TEMP
1094, 5.86, -40.00, 0.57, -0.96, ALARM, LOW_FC_TEMP
1104, 6.25, -40.00, 0.52, -0.35, ALARM, LOW_FC_TEMP
1114, 5.86, -40.00, 0.57, -0.94, ALARM, LOW_FC_TEMP
1124, 6.25, -40.00, 0.52, -0.36, ALARM, LOW_FC_TEMP
1134, 6.25, -40.00, 0.62, -0.97, ALARM, LOW_FC_TEMP
1144, 6.25, -40.00, 0.54, -0.37, ALARM, LOW_FC_TEMP
1154, 6.64, -40.00, 0.57, -0.95, ALARM, LOW_FC_TEMP
1164, 6.64, -40.00, 0.36, -0.37, ALARM, LOW_FC_TEMP
1174, 5.86, -40.00, 0.57, -0.98, ALARM, LOW_FC_TEMP
1184, 6.25, -40.00, 0.54, -0.40, ALARM, LOW_FC_TEMP
1195, 5.86, -40.00, 0.57, -0.93, ALARM, LOW_FC_TEMP
1205, 6.25, -40.00, 0.49, -0.33, ALARM, LOW_FC_TEMP
1215, 6.25, -40.00, 0.60, -0.87, ALARM, LOW_FC_TEMP
1225, 6.25, -40.00, 0.57, -0.29, ALARM, LOW_FC_TEMP
1235, 5.86, -40.00, 0.44, -0.85, ALARM, LOW_FC_TEMP
1245, 6.64, -40.00, 0.41, -0.26, ALARM, LOW_FC_TEMP
1255, 5.86, -40.00, 0.54, -0.90, ALARM, LOW_FC_TEMP
1265, 6.25, -40.00, 0.52, -0.29, ALARM, LOW_FC_TEMP
1275, 5.86, -40.00, 0.52, -0.83, ALARM, LOW_FC_TEMP
1285, 6.25, -40.00, 0.49, -0.25, ALARM, LOW_FC_TEMP
1295, 6.25, -40.00, 0.62, -0.87, ALARM, LOW_FC_TEMP
1305, 6.25, -40.00, 0.47, -0.25, ALARM, LOW_FC_TEMP
1315, 5.86, -40.00, 0.54, -0.86, ALARM, LOW_FC_TEMP
1325, 6.25, -40.00, 0.52, -0.28, ALARM, LOW_FC_TEMP
1335, 5.86, -40.00, 0.36, -0.91, ALARM, LOW_FC_TEMP
1345, 6.25, -40.00, 0.54, -0.29, ALARM, LOW_FC_TEMP
1355, 6.25, -40.00, 0.52, -0.85, ALARM, LOW_FC_TEMP
1366, 6.25, -40.00, 0.49, -0.27, ALARM, LOW_FC_TEMP
1376, 5.86, -40.00, 0.52, -0.82, ALARM, LOW_FC_TEMP
1386, 6.25, -40.00, 0.34, -0.25, ALARM, LOW_FC_TEMP
1396, 6.25, -40.00, 0.60, -0.81, ALARM, LOW_FC_TEMP
1406, 6.25, -40.00, 0.36, -0.28, ALARM, LOW_FC_TEMP
1416, 5.86, -40.00, 0.60, -0.83, ALARM, LOW_FC_TEMP
1426, 6.64, -40.00, 0.52, -0.25, ALARM, LOW_FC_TEMP
1436, 6.25, -40.00, 0.60, -0.80, ALARM, LOW_FC_TEMP
1446, 6.25, -40.00, 0.39, -0.23, ALARM, LOW_FC_TEMP
1456, 5.86, -40.00, 0.41, -0.82, ALARM, LOW_FC_TEMP
1466, 5.86, -40.00, 0.49, -0.23, ALARM, LOW_FC_TEMP
1476, 6.25, -40.00, 0.62, -0.81, ALARM, LOW_FC_TEMP
1486, 6.25, -40.00, 0.52, -0.28, ALARM, LOW_FC_TEMP
1496, 5.86, -40.00, 0.57, -0.79, ALARM, LOW_FC_TEMP
1506, 6.64, -40.00, 0.54, -0.21, ALARM, LOW_FC_TEMP
1516, 5.86, -40.00, 0.41, -0.81, ALARM, LOW_FC_TEMP
