=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:53:44 =~=~=~=~=~=~=~=~=~=~=~=
342, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
352, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
362, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
372, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
382, 0.39, 27.00, 17.39, 0.20, STANDBY, NONE
392, 0.39, 27.00, 17.39, 0.21, STANDBY, NONE
402, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
412, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
422, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
432, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
442, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
452, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
462, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
472, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
482, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
492, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
502, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
512, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
522, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
532, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
542, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
552, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
562, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
572, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
582, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
592, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
602, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
612, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
622, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
632, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
642, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
652, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
662, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
672, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
683, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
693, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
703, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
713, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
723, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
733, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
743, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
753, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
763, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
773, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
783, 0.39, 27.00, 17.42, 0.20, STANDBY, NONE
793, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
803, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
813, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
823, 0.39, 27.00, 17.39, 0.20, STANDBY, NONE
833, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
843, 0.39, 27.00, 17.44, 0.21, STANDBY, NONE
854, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
864, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
874, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
884, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
894, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
904, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
914, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
924, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
934, 0.39, 27.00, 17.42, 0.21, STANDBY, NONE
944, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
954, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
964, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
974, 0.00, 27.00, 17.44, 0.21, STANDBY, NONE
984, 0.39, 27.00, 17.39, 0.20, STANDBY, NONE
994, 0.39, 27.00, 17.39, 0.21, STANDBY, NONE
1004, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1014, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1024, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
1034, 0.00, 27.00, 17.42, 0.21, STANDBY, NONE
1044, 0.00, 27.00, 17.39, 0.20, STANDBY, NONE
